manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,Table 3,Table 3,MAE_DPM,0.159956,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P5/P95,0.1599562814786206,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0999946354809291,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P5/P95,0.0999946354809291,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.243712,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P10/P90,0.2437115328403747,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.204328,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P10/P90,0.2043284829848946,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.1999892709618582,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P10/P90,0.1999892709618582,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.177680,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P1/P99,0.1776795811146561,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.151205,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P1/P99,0.1512046087178893,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.02014208759466,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P1/P99,0.02014208759466,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.181126,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P2/P98,0.1811258756219257,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.152351,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P2/P98,0.1523509671773381,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0401280349754079,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P2/P98,0.0401280349754079,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.211935,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P5/P95,0.2119347557358626,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.178063,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P5/P95,0.1780626483719873,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.1000858771176516,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P5/P95,0.1000858771176516,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.266655,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P10/P90,0.2666553758047848,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.228590,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P10/P90,0.228589530364104,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.2000156140213912,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=sentinel2; endpoint=P10/P90,0.2000156140213912,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.493138,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P1/P99,0.493138182764488,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.462167,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P1/P99,0.4621668680431773,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0199979168836579,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P1/P99,0.0199979168836579,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.502168,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P2/P98,0.5021678544132477,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.454152,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P2/P98,0.4541520047566894,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0399958337673159,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P2/P98,0.0399958337673159,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.542906,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P5/P95,0.5429056428457283,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.472754,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P5/P95,0.4727543063616828,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0999895844182897,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P5/P95,0.0999895844182897,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.593598,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P10/P90,0.5935976401673033,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.499931,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P10/P90,0.4999308026739664,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.1999791688365795,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=landsat; endpoint=P10/P90,0.1999791688365795,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.432897,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P1/P99,0.4328971518373747,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.386788,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P1/P99,0.3867879901106142,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0200872476412701,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P1/P99,0.0200872476412701,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.469506,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P2/P98,0.4695057361035206,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.409988,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P2/P98,0.4099878907156022,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0400730445368773,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P2/P98,0.0400730445368773,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.519659,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-01; sensor=modis; endpoint=P5/P95,0.5196586049614714,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
